"CODE";"FR";"CODE_light";"niveau";"genealogieCode";"genealogieLabel"
"30232110-8";"Imprimantes laser";"3023211";7;"3|302|3023|30232|302321";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique|Périphériques (appareils)|Imprimantes et traceurs"
"30232120-1";"Imprimantes matricielles";"3023212";7;"3|302|3023|30232|302321";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique|Périphériques (appareils)|Imprimantes et traceurs"
"30232130-4";"Imprimantes graphiques couleur";"3023213";7;"3|302|3023|30232|302321";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique|Périphériques (appareils)|Imprimantes et traceurs"
"30232140-7";"Traceurs";"3023214";7;"3|302|3023|30232|302321";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique|Périphériques (appareils)|Imprimantes et traceurs"
"30232150-0";"Imprimantes à jet d'encre";"3023215";7;"3|302|3023|30232|302321";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique|Périphériques (appareils)|Imprimantes et traceurs"
"30232600-0";"Codeurs";"302326";6;"3|302|3023|30232";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique|Périphériques (appareils)"
"30232700-1";"Unité centrale de commande";"302327";6;"3|302|3023|30232";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique|Périphériques (appareils)"
"30233000-1";"Unités de mémoire et de lecture";"30233";5;"3|302|3023";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique"
"30233100-2";"Unités de mémoire";"302331";6;"3|302|3023|30233";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique|Unités de mémoire et de lecture"
"30233110-5";"Unités de mémoire à carte magnétique";"3023311";7;"3|302|3023|30233|302331";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique|Unités de mémoire et de lecture|Unités de mémoire"
"30233120-8";"Unités de mémoire à bande magnétique";"3023312";7;"3|302|3023|30233|302331";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique|Unités de mémoire et de lecture|Unités de mémoire"
"30233130-1";"Unités de mémoire à disque magnétique";"3023313";7;"3|302|3023|30233|302331";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique|Unités de mémoire et de lecture|Unités de mémoire"
"30233131-8";"Unités de disques souples";"30233131";8;"3|302|3023|30233|302331|3023313";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique|Unités de mémoire et de lecture|Unités de mémoire|Unités de mémoire à disque magnétique"
"30233132-5";"Unités de disque dur";"30233132";8;"3|302|3023|30233|302331|3023313";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique|Unités de mémoire et de lecture|Unités de mémoire|Unités de mémoire à disque magnétique"
"30233140-4";"Unités de mémoire à accès sélectif (MAS)";"3023314";7;"3|302|3023|30233|302331";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique|Unités de mémoire et de lecture|Unités de mémoire"
"30233141-1";"Matrice redondante de disques indépendants (RAID)";"30233141";8;"3|302|3023|30233|302331|3023314";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique|Unités de mémoire et de lecture|Unités de mémoire|Unités de mémoire à accès sélectif (MAS)"
"30233150-7";"Unités de disque optique";"3023315";7;"3|302|3023|30233|302331";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique|Unités de mémoire et de lecture|Unités de mémoire"
